# subsample, gamma, colsample_bytree, max_depth, min_child_weight, target
1.000000000000000000e+00,3.539749420949657388e+00,9.999994172653238200e-01,1.441882140874688467e+01,9.897023860414030594e+00,-1.102716600000000158e+00
9.999999999999549249e-01,2.714896447701328874e+00,5.000000000000000000e-01,7.265498029617628362e+00,1.340807802272121663e+01,-1.102909599999999823e+00
9.999998728191258346e-01,7.963966846805655697e-01,7.088748359139771527e-01,5.898702873640759847e+00,2.187709185206587303e+00,-1.103263600000000011e+00
9.715416363090443319e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.130056596916864109e+00,1.146718361421893029e+01,-1.105480200000000135e+00
1.000000000000000000e+00,3.567179342136134412e+00,5.000002151698925701e-01,1.332735264268372610e+01,1.157875178213182465e+01,-1.103319200000000055e+00
9.766768815352525612e-01,2.006496980203311686e+00,9.189626719611966310e-01,7.330015717095368366e+00,7.099983263328912386e+00,-1.102471599999999885e+00
8.651207929108097883e-01,4.618960285865784776e+00,8.543555951313314134e-01,1.323293622230711541e+01,1.868131349414795039e+01,-1.106570599999999960e+00
1.000000000000000000e+00,5.485076450588187713e-01,9.869058438301459013e-01,5.000000038298025196e+00,1.346534534432995223e+01,-1.106974600000000031e+00
9.760191103742726915e-01,3.859651845432939155e+00,5.558063601825221633e-01,1.169174258835675850e+01,1.876379897843305145e+01,-1.104651800000000073e+00
8.510321807343101952e-01,1.986765873831099594e+00,5.043434925957768211e-01,6.761346355565509114e+00,1.095045848532494048e+01,-1.103135399999999766e+00
9.999999985130494373e-01,6.435922964271256319e+00,5.000000000000209832e-01,1.167989894004346674e+01,1.615912946263960848e+01,-1.121169399999999872e+00
9.999996385692311307e-01,3.939072200605126195e+00,9.999999999999504841e-01,1.499999994017258054e+01,1.568002336988960543e+01,-1.105401599999999984e+00
9.999999994523862679e-01,2.451799846081454959e+00,5.000000000000000000e-01,7.389794449128345377e+00,1.917622247035865257e+01,-1.106167399999999912e+00
9.435369641372340910e-01,3.545456760841295463e+00,7.560796070857989104e-01,1.203877870786363324e+01,1.559189958041843127e+01,-1.103493999999999975e+00
6.356224331146215212e-01,2.029522903509505483e+00,7.467388183741406893e-01,7.139193718486015250e+00,3.168214124039220536e+00,-1.110638800000000037e+00
1.000000000000000000e+00,1.974444255817813909e+00,5.000016613193108972e-01,9.764745600855018637e+00,1.707041681671679711e+01,-1.106250600000000084e+00
8.079081085617290103e-01,3.875140415465783583e+00,5.619379872402995302e-01,9.187071358770925400e+00,7.750042059799906902e+00,-1.102034000000000180e+00
9.995568243337514813e-01,1.139251793629984855e+00,8.511655327256371084e-01,7.539530583665174035e+00,1.270874388431511903e+01,-1.108697000000000044e+00
9.038559899462607072e-01,2.381296235699704056e+00,5.000000000000000000e-01,1.487934724616482818e+01,1.200330502835224067e+01,-1.116316800000000109e+00
1.000000000000000000e+00,4.724916183475611930e+00,5.000000288593325903e-01,1.119427549112878850e+01,7.345930004743972397e+00,-1.108432799999999885e+00
1.000000000000000000e+00,2.356516440211996244e+00,5.000015075035185719e-01,9.011788731500432803e+00,1.065188506017627645e+01,-1.102190999999999921e+00
9.260671195859319083e-01,5.396629975053365058e+00,6.394915357317582094e-01,7.193239749329968902e+00,8.242248599753169813e+00,-1.108691800000000116e+00
9.834311797431058988e-01,3.867814300937674421e+00,7.064977201787538963e-01,1.177701677456559182e+01,1.456520652793505377e+01,-1.102567599999999981e+00
1.000000000000000000e+00,5.754896900706912177e+00,9.999999983608841569e-01,1.499999942877015080e+01,2.000000000000000000e+01,-1.117093000000000114e+00
7.528335037195620361e-01,2.367348806193663169e+00,5.080216301082560726e-01,7.842830381469089396e+00,5.016616550599309221e+00,-1.104394799999999899e+00
5.381421774271877290e-01,3.528815509451828980e+00,5.146826907907663395e-01,9.467425473407940828e+00,1.070813667335755781e+01,-1.112083600000000061e+00
1.000000000000000000e+00,4.414976321460098774e+00,5.000000000000000000e-01,8.876975031336423072e+00,3.303368125843316072e+00,-1.109405799999999775e+00
9.208386335940773604e-01,3.443076714184873044e+00,6.407041135414879296e-01,7.482527222374239173e+00,1.762587604312544087e+01,-1.105459399999999981e+00
9.640331477979473540e-01,3.578904393639304793e+00,7.860594507349624172e-01,1.410212927339022926e+01,1.315970326224701381e+01,-1.102812399999999915e+00
9.587720775659966943e-01,4.604430271111167094e+00,9.045418662984517910e-01,6.037404854942825416e+00,4.012130009073221260e+00,-1.106755000000000155e+00
6.587690055473235384e-01,4.061526216445531468e+00,6.168837856694716626e-01,7.693273469332630121e+00,4.476418529093135312e+00,-1.104478599999999977e+00
5.000000000000000000e-01,3.603265550813039564e+00,5.000001414633460373e-01,8.646779313748350404e+00,5.113070318466328423e+00,-1.108934799999999887e+00
6.591126842071340919e-01,3.166989932055626955e+00,7.645100373216436873e-01,6.245921787064816044e+00,4.027692246587494473e+00,-1.103982800000000042e+00
1.000000000000000000e+00,4.970568412732514929e+00,9.999999995154330579e-01,1.252467832811246495e+01,1.185156143813039265e+01,-1.109910000000000174e+00
9.999998813165201783e-01,4.668429762366124725e-01,9.999994807502214922e-01,5.000000000000000000e+00,4.151368350439517130e+00,-1.103535600000000061e+00
